Allocated 943202304, Freeing 752181363, ratio 0.797476
Allocated 943210496, Freeing 752189765, ratio 0.797478
Allocated 943214592, Freeing 752192024, ratio 0.797477
Allocated 943222784, Freeing 752200216, ratio 0.797479
Allocated 943226880, Freeing 752203557, ratio 0.797479
Allocated 943222784, Freeing 752198830, ratio 0.797477
Allocated 943222784, Freeing 752196557, ratio 0.797475
Allocated 943222784, Freeing 752195951, ratio 0.797474
Allocated 943222784, Freeing 752195515, ratio 0.797474
Allocated 943230976, Freeing 752203707, ratio 0.797476
Allocated 943226880, Freeing 752199488, ratio 0.797475
Allocated 943230976, Freeing 752200171, ratio 0.797472
Allocated 943226880, Freeing 752196171, ratio 0.797471
Allocated 943230976, Freeing 752196333, ratio 0.797468
Allocated 943230976, Freeing 752192972, ratio 0.797464
Allocated 943230976, Freeing 752193415, ratio 0.797465
Allocated 943226880, Freeing 752188232, ratio 0.797463
Allocated 943226880, Freeing 752187231, ratio 0.797462
Allocated 943230976, Freeing 752190481, ratio 0.797462
Allocated 943230976, Freeing 752189932, ratio 0.797461
Allocated 943239168, Freeing 752198124, ratio 0.797463
Allocated 943243264, Freeing 752198825, ratio 0.797460
Allocated 943243264, Freeing 752198344, ratio 0.797460
Allocated 943243264, Freeing 752198103, ratio 0.797459
Allocated 943251456, Freeing 752206295, ratio 0.797461
Allocated 943255552, Freeing 752208250, ratio 0.797460
Allocated 943259648, Freeing 752209486, ratio 0.797458
Allocated 943263744, Freeing 752212449, ratio 0.797457
Allocated 943271936, Freeing 752220641, ratio 0.797459
Allocated 943280128, Freeing 752228833, ratio 0.797461
Allocated 943284224, Freeing 752231042, ratio 0.797460
Allocated 943284224, Freeing 752229464, ratio 0.797458
Allocated 943292416, Freeing 752233955, ratio 0.797456
Allocated 943292416, Freeing 752234112, ratio 0.797456
Allocated 943292416, Freeing 752233072, ratio 0.797455
Allocated 943292416, Freeing 752232338, ratio 0.797454
Allocated 943292416, Freeing 752231609, ratio 0.797453
Allocated 943292416, Freeing 752231467, ratio 0.797453
Allocated 943300608, Freeing 752235444, ratio 0.797450
Allocated 943300608, Freeing 752233880, ratio 0.797449
Allocated 943304704, Freeing 752235672, ratio 0.797447
Allocated 943312896, Freeing 752243864, ratio 0.797449
Allocated 943316992, Freeing 752247667, ratio 0.797450
Allocated 943325184, Freeing 752255859, ratio 0.797451
Allocated 943325184, Freeing 752254757, ratio 0.797450
Allocated 943325184, Freeing 752253903, ratio 0.797449
Allocated 943325184, Freeing 752252903, ratio 0.797448
Allocated 943325184, Freeing 752252756, ratio 0.797448
Allocated 943329280, Freeing 752254213, ratio 0.797446
Allocated 943329280, Freeing 752253428, ratio 0.797445
Allocated 943337472, Freeing 752261764, ratio 0.797447
Allocated 943337472, Freeing 752261601, ratio 0.797447
Allocated 943341568, Freeing 752264686, ratio 0.797447
Allocated 943341568, Freeing 752262484, ratio 0.797444
Allocated 943341568, Freeing 752262393, ratio 0.797444
Allocated 943345664, Freeing 752263344, ratio 0.797442
Allocated 943353856, Freeing 752271536, ratio 0.797444
Allocated 943357952, Freeing 752272088, ratio 0.797441
Allocated 943357952, Freeing 752271458, ratio 0.797440
Allocated 943366144, Freeing 752279962, ratio 0.797442
Allocated 943362048, Freeing 752274233, ratio 0.797440
Allocated 943362048, Freeing 752272720, ratio 0.797438
Allocated 943370240, Freeing 752281112, ratio 0.797440
Allocated 943378432, Freeing 752289304, ratio 0.797442
Allocated 943386624, Freeing 752297496, ratio 0.797443
Allocated 943394816, Freeing 752305688, ratio 0.797445
Allocated 943394816, Freeing 752305879, ratio 0.797445
Allocated 943386624, Freeing 752295863, ratio 0.797442
Allocated 943394816, Freeing 752304055, ratio 0.797443
Allocated 943398912, Freeing 752304397, ratio 0.797440
Allocated 943398912, Freeing 752303899, ratio 0.797440
Allocated 943398912, Freeing 752302900, ratio 0.797439
Allocated 943398912, Freeing 752302639, ratio 0.797439
Allocated 943407104, Freeing 752310831, ratio 0.797440
Allocated 943407104, Freeing 752310778, ratio 0.797440
Allocated 943386624, Freeing 752293161, ratio 0.797439
Allocated 943374336, Freeing 752282073, ratio 0.797438
Allocated 943382528, Freeing 752290265, ratio 0.797439
Allocated 943382528, Freeing 752289242, ratio 0.797438
Allocated 943382528, Freeing 752288228, ratio 0.797437
Allocated 943386624, Freeing 752290119, ratio 0.797436
Allocated 943386624, Freeing 752290023, ratio 0.797436
Allocated 943386624, Freeing 752289909, ratio 0.797435
Allocated 943386624, Freeing 752289118, ratio 0.797435
Allocated 943386624, Freeing 752288928, ratio 0.797434
Allocated 943390720, Freeing 752289916, ratio 0.797432
Allocated 943394816, Freeing 752290111, ratio 0.797429
Allocated 943394816, Freeing 752289940, ratio 0.797429
Allocated 943394816, Freeing 752289712, ratio 0.797428
Allocated 943394816, Freeing 752288239, ratio 0.797427
Allocated 943394816, Freeing 752288089, ratio 0.797427
Allocated 943394816, Freeing 752286175, ratio 0.797425
Allocated 943394816, Freeing 752285002, ratio 0.797423
Allocated 943394816, Freeing 752284177, ratio 0.797422
Allocated 943394816, Freeing 752282598, ratio 0.797421
Allocated 943394816, Freeing 752282373, ratio 0.797421
Allocated 943394816, Freeing 752282045, ratio 0.797420
Allocated 943394816, Freeing 752281002, ratio 0.797419
Allocated 943403008, Freeing 752289194, ratio 0.797421
Allocated 943403008, Freeing 752288831, ratio 0.797420
Allocated 943403008, Freeing 752288447, ratio 0.797420
Allocated 943407104, Freeing 752289888, ratio 0.797418
Allocated 943415296, Freeing 752298080, ratio 0.797420
Allocated 943415296, Freeing 752297890, ratio 0.797420
Allocated 943415296, Freeing 752296908, ratio 0.797419
Allocated 943419392, Freeing 752300218, ratio 0.797419
Allocated 943419392, Freeing 752299963, ratio 0.797418
Allocated 943419392, Freeing 752298667, ratio 0.797417
Allocated 943419392, Freeing 752297309, ratio 0.797416
Allocated 943419392, Freeing 752296433, ratio 0.797415
Allocated 943427584, Freeing 752304625, ratio 0.797416
Allocated 943427584, Freeing 752304120, ratio 0.797416
Allocated 943435776, Freeing 752312312, ratio 0.797418
Allocated 943435776, Freeing 752311799, ratio 0.797417
Allocated 943435776, Freeing 752311011, ratio 0.797416
Allocated 943435776, Freeing 752310249, ratio 0.797415
Allocated 943435776, Freeing 752310229, ratio 0.797415
Allocated 943443968, Freeing 752318421, ratio 0.797417
Allocated 943452160, Freeing 752326613, ratio 0.797419
Allocated 943452160, Freeing 752325930, ratio 0.797418
Allocated 943456256, Freeing 752327493, ratio 0.797416
Allocated 943456256, Freeing 752326832, ratio 0.797416
Allocated 943456256, Freeing 752326738, ratio 0.797416
Allocated 943456256, Freeing 752326456, ratio 0.797415
Allocated 943456256, Freeing 752325945, ratio 0.797415
Allocated 943460352, Freeing 752327262, ratio 0.797413
Allocated 943464448, Freeing 752327441, ratio 0.797409
Allocated 943464448, Freeing 752327218, ratio 0.797409
Allocated 943472640, Freeing 752335410, ratio 0.797411
Allocated 943480832, Freeing 752343602, ratio 0.797413
Allocated 943480832, Freeing 752343360, ratio 0.797412
Allocated 943489024, Freeing 752351552, ratio 0.797414
Allocated 943493120, Freeing 752353272, ratio 0.797413
Allocated 943493120, Freeing 752352934, ratio 0.797412
Allocated 943497216, Freeing 752353105, ratio 0.797409
Allocated 943497216, Freeing 752352944, ratio 0.797409
Allocated 943505408, Freeing 752361136, ratio 0.797411
Allocated 943513600, Freeing 752369328, ratio 0.797412
Allocated 943513600, Freeing 752369308, ratio 0.797412
Allocated 943521792, Freeing 752377500, ratio 0.797414
Allocated 943529984, Freeing 752385692, ratio 0.797416
Allocated 943529984, Freeing 752385648, ratio 0.797416
Allocated 943529984, Freeing 752385560, ratio 0.797416
Allocated 943534080, Freeing 752385807, ratio 0.797412
Allocated 943542272, Freeing 752393999, ratio 0.797414
Allocated 943542272, Freeing 752393167, ratio 0.797413
Allocated 943542272, Freeing 752391776, ratio 0.797412
Allocated 943542272, Freeing 752390335, ratio 0.797410
Allocated 943542272, Freeing 752389832, ratio 0.797410
Allocated 943546368, Freeing 752392180, ratio 0.797409
Allocated 943546368, Freeing 752391596, ratio 0.797408
Allocated 943554560, Freeing 752399788, ratio 0.797410
Allocated 943554560, Freeing 752398834, ratio 0.797409
Allocated 943562752, Freeing 752407026, ratio 0.797411
Allocated 943562752, Freeing 752406548, ratio 0.797410
Allocated 943570944, Freeing 752414740, ratio 0.797412
Allocated 943579136, Freeing 752422932, ratio 0.797414
Allocated 943583232, Freeing 752423668, ratio 0.797411
Allocated 943583232, Freeing 752423102, ratio 0.797410
Allocated 943583232, Freeing 752422690, ratio 0.797410
Allocated 943583232, Freeing 752421253, ratio 0.797408
Allocated 943583232, Freeing 752420459, ratio 0.797408
Allocated 943583232, Freeing 752420310, ratio 0.797407
Allocated 943591424, Freeing 752428502, ratio 0.797409
Allocated 943591424, Freeing 752428262, ratio 0.797409
Allocated 943591424, Freeing 752428002, ratio 0.797409
Allocated 943591424, Freeing 752426765, ratio 0.797407
Allocated 943591424, Freeing 752426507, ratio 0.797407
Allocated 943591424, Freeing 752425397, ratio 0.797406
Allocated 943599616, Freeing 752433589, ratio 0.797408
Allocated 943607808, Freeing 752441781, ratio 0.797409
Allocated 943611904, Freeing 752441828, ratio 0.797406
Allocated 943616000, Freeing 752443330, ratio 0.797404
Allocated 943616000, Freeing 752442229, ratio 0.797403
Allocated 943620096, Freeing 752443883, ratio 0.797401
Allocated 943620096, Freeing 752443354, ratio 0.797401
Allocated 943628288, Freeing 752451546, ratio 0.797402
Allocated 943628288, Freeing 752451255, ratio 0.797402
Allocated 943628288, Freeing 752449324, ratio 0.797400
Allocated 943632384, Freeing 752450174, ratio 0.797398
Allocated 943632384, Freeing 752449806, ratio 0.797397
Allocated 943632384, Freeing 752449498, ratio 0.797397
Allocated 943640576, Freeing 752457690, ratio 0.797399
